,time,load,forecast_load,wind,forecast_wind,solar,forecast_solar,inertia,forecast_other_generation,other_generation
855,2021-02-05 18:00:00,40122.76834,39493.30078125,3774.283448,4023.9,1861.565573,1455.7,226747.359,34013.70078125,34486.919319
856,2021-02-05 19:00:00,41873.54487,41345.30078125,5629.13592,5455.900000000001,58.79771835,80.60000000000001,226797.739,35808.80078125,36185.61123165
857,2021-02-05 20:00:00,42222.09771,41883.8984375,9768.431891,8846.9,0.055071224,0.0,225183.5832,33036.9984375,32453.610747776
858,2021-02-05 21:00:00,41925.9226,41450.1015625,13357.62547,12774.2,0.055071224,0.0,218359.09,28675.9015625,28568.242058776
859,2021-02-05 22:00:00,41424.16238,41077.69921875,15838.63473,15273.2,0.055071224,0.0,197193.3142,25804.49921875,25585.472578776004
860,2021-02-05 23:00:00,40085.84783,40211.30078125,16522.65222,16719.8,0.055071224,0.0,178467.5978,23491.50078125,23563.140538776
861,2021-02-06 00:00:00,38633.01272,38186.3984375,16344.04711,17017.8,0.055071224,0.0,171795.3842,21168.5984375,22288.910538776
862,2021-02-06 01:00:00,37263.77037,37600.43359375,15641.39674,16395.4,0.055071224,0.0,173102.4788,21205.03359375,21622.318558775998
863,2021-02-06 02:00:00,36495.73294,36907.3984375,15625.50519,15657.5,0.055071224,0.0,171419.1094,21249.8984375,20870.172678776
864,2021-02-06 03:00:00,36126.96002,36066.609375,15697.44871,14596.9,0.055071224,0.0,173253.3378,21469.709375,20429.456238775998
865,2021-02-06 04:00:00,36008.18345,36023.87890625,14897.48479,13993.6,0.055071224,0.0,173778.9406,22030.27890625,21110.643588775994
866,2021-02-06 05:00:00,36305.55961,36007.69140625,14280.13115,13637.1,0.055071224,0.0,175513.072,22370.59140625,22025.373388775995
867,2021-02-06 06:00:00,37079.34419,36899.171875,13142.92954,13426.4,0.055071224,0.0,180554.5377,23472.771875,23936.359578776006
868,2021-02-06 07:00:00,38415.77556,38541.23046875,12049.5543,12950.6,0.055071224,0.0,182626.7656,25590.63046875,26366.166188776002
869,2021-02-06 08:00:00,39815.68917,39836.55859375,12395.63067,14098.0,29.70490051,51.7,182125.9642,25686.85859375,27390.353599489998
870,2021-02-06 09:00:00,41182.36931,40535.15234375,12768.46044,14496.300000000001,1690.989616,1113.8,181107.2758,24925.052343749998,26722.919254
871,2021-02-06 10:00:00,42225.26848,40831.0,13162.07331,14326.800000000001,3904.179873,3778.3,170421.3298,22725.899999999998,25159.015296999998
872,2021-02-06 11:00:00,42179.92721,40486.6484375,14483.51355,14423.1,3591.981007,4356.1,168077.1351,21707.448437500003,24104.432653000003
873,2021-02-06 12:00:00,41039.6165,39439.125,15499.54412,15999.1,2888.908978,4302.9,166560.5868,19137.125,22651.163402
874,2021-02-06 13:00:00,39823.1658,38741.62109375,16075.86441,16153.9,3065.178164,4399.2,165880.0179,18188.521093749998,20682.123226
875,2021-02-06 14:00:00,38554.61926,38290.0,16629.51354,17574.2,3417.512264,4479.8,165441.9776,16236.0,18507.593456
876,2021-02-06 15:00:00,37545.59629,37159.08984375,16131.24935,16894.6,3877.007721,4470.2,168475.5061,15794.28984375,17537.339219
877,2021-02-06 16:00:00,36975.0634,36457.23828125,14867.96601,15284.7,4244.058599,4474.2,177001.3393,16698.33828125,17863.038791
878,2021-02-06 17:00:00,36951.53214,36948.09375,12188.8465,12557.300000000001,4261.382372,4058.3,184548.1593,20332.493749999998,20501.303268000003
879,2021-02-06 18:00:00,37492.417,37223.53125,8391.001234,9637.800000000001,1956.923192,1576.1000000000001,189121.0284,26009.63125,27144.492574000004
880,2021-02-06 19:00:00,38854.18975,38872.046875,5449.498188,8165.900000000001,70.40099349,95.7,200704.6314,30610.446874999998,33334.29056851
881,2021-02-06 20:00:00,39761.32428,39321.8828125,6878.303184,8674.7,0.028648891,0.0,202100.1974,30647.1828125,32882.992447109
882,2021-02-06 21:00:00,39496.00906,39343.5703125,8464.319479,9626.300000000001,0.028648891,0.0,192187.7271,29717.270312499997,31031.660932109
883,2021-02-06 22:00:00,38892.1924,39130.2265625,8762.163354,9911.800000000001,0.028648891,0.0,190666.8036,29218.426562499997,30130.000397109
884,2021-02-06 23:00:00,38114.3884,38264.7421875,9856.021974,11594.9,0.028648891,0.0,183063.0189,26669.8421875,28258.337777109005
885,2021-02-07 00:00:00,37269.47614,37765.00390625,11050.71234,13638.5,0.028648891,0.0,171838.0222,24126.50390625,26218.735151109002
886,2021-02-07 01:00:00,36619.29511,36683.5,13232.95498,14432.5,0.028648891,0.0,162511.8969,22251.0,23386.311481108998
887,2021-02-07 02:00:00,36322.88334,36485.5,14561.13493,14928.9,0.028648891,0.0,158790.6719,21556.6,21761.719761109
888,2021-02-07 03:00:00,36406.05919,36580.5,15167.31426,15240.9,0.028648891,0.0,158790.6719,21339.6,21238.716281109002
889,2021-02-07 04:00:00,36924.29359,37156.30078125,16475.23995,16369.9,0.028648891,0.0,158790.6719,20786.40078125,20449.024991109003
890,2021-02-07 05:00:00,37715.64527,38008.30078125,16787.33503,16982.0,0.028648891,0.0,159717.6893,21026.30078125,20928.281591109004
